region,lawdCd,sido,sigungu
SEOUL,11110,서울특별시,종로구
SEOUL,11140,서울특별시,중구
SEOUL,11170,서울특별시,용산구
SEOUL,11200,서울특별시,성동구
SEOUL,11215,서울특별시,광진구
SEOUL,11230,서울특별시,동대문구
SEOUL,11260,서울특별시,중랑구
SEOUL,11290,서울특별시,성북구
SEOUL,11305,서울특별시,강북구
SEOUL,11320,서울특별시,도봉구
SEOUL,11350,서울특별시,노원구
SEOUL,11380,서울특별시,은평구
SEOUL,11410,서울특별시,서대문구
SEOUL,11440,서울특별시,마포구
SEOUL,11470,서울특별시,양천구
SEOUL,11500,서울특별시,강서구
SEOUL,11530,서울특별시,구로구
SEOUL,11545,서울특별시,금천구
SEOUL,11560,서울특별시,영등포구
SEOUL,11590,서울특별시,동작구
SEOUL,11620,서울특별시,관악구
SEOUL,11650,서울특별시,서초구
SEOUL,11680,서울특별시,강남구
SEOUL,11710,서울특별시,송파구
SEOUL,11740,서울특별시,강동구
BUSAN,26110,부산광역시,중구
BUSAN,26140,부산광역시,서구
BUSAN,26170,부산광역시,동구
BUSAN,26200,부산광역시,영도구
BUSAN,26230,부산광역시,부산진구
BUSAN,26260,부산광역시,동래구
BUSAN,26290,부산광역시,남구
BUSAN,26320,부산광역시,북구
BUSAN,26350,부산광역시,해운대구
BUSAN,26380,부산광역시,사하구
BUSAN,26410,부산광역시,금정구
BUSAN,26440,부산광역시,강서구
BUSAN,26470,부산광역시,연제구
BUSAN,26500,부산광역시,수영구
BUSAN,26530,부산광역시,사상구
BUSAN,26710,부산광역시,기장군
