sido,sigungu,legal_dong,complex_name,legal_address,road_address,household_count
서울특별시,종로구,내수동,경희궁의아침3단지,서울특별시 종로구 내수동 72 경희궁의아침3단지,서울특별시 종로구 사직로8길 34,150
서울특별시,종로구,내수동,경희궁의아침4단지,서울특별시 종로구 내수동 73- 경희궁의아침4단지,,120
서울특별시,종로구,내수동,경희궁파크팰리스,서울특별시 종로구 내수동 95- 경희궁파크팰리스,,142
서울특별시,종로구,신문로2가,광화문스페이스본 아파트,"서울특별시 종로구 신문로2가 1-434,서울특별시 종로구 신문로2가 1-435 광화문스페이스본 아파트","서울특별시 종로구 사직로8길 4,서울특별시 종로구 경희궁길 57",744
서울특별시,종로구,익선동,현대뜨레비앙,서울특별시 종로구 익선동 55 현대뜨레비앙,서울특별시 종로구 돈화문로11가길 59,291
서울특별시,종로구,낙원동,낙원아파트,서울특별시 종로구 낙원동 288- 낙원아파트,,149
서울특별시,종로구,인의동,효성주얼리시티아파트,서울특별시 종로구 인의동 48-2 효성주얼리시티아파트,서울특별시 종로구 종로 183,298
서울특별시,종로구,효제동,포레스트힐시티,서울특별시 종로구 효제동 65-2 포레스트힐시티,서울특별시 종로구 대학로 33,152
서울특별시,종로구,충신동,힐스테이트 창경궁,서울특별시 종로구 충신동 60- 힐스테이트 창경궁,서울특별시 종로구 율곡로 236,181
서울특별시,종로구,명륜2가,명륜아남1차,서울특별시 종로구 명륜2가 4 명륜아남1차,서울특별시 종로구 창경궁로 265,436
서울특별시,종로구,명륜2가,주상복합아남아파트,서울특별시 종로구 명륜2가 237 주상복합아남아파트,,136
서울특별시,종로구,창신동,창신두산,서울특별시 종로구 창신동 232 창신두산,서울특별시 종로구 지봉로5길 7,529
서울특별시,종로구,창신동,창신쌍용1단지,서울특별시 종로구 창신동 702 창신쌍용1단지,서울특별시 종로구 동망산길 19,585
서울특별시,종로구,창신동,창신쌍용아파트2단지,서울특별시 종로구 창신동 703 창신쌍용아파트2단지,서울특별시 종로구 낙산길 198,919
서울특별시,종로구,창신동,창신이수아파트,서울특별시 종로구 창신동 23-816 창신이수아파트,,113
서울특별시,종로구,숭인동,롯데캐슬천지인,서울특별시 종로구 숭인동 76 롯데캐슬천지인,서울특별시 종로구 종로 347,220
서울특별시,종로구,숭인동,숭인상가아파트,서울특별시 종로구 숭인동 204-11 숭인상가아파트,서울특별시 종로구 청계천로 391,109
서울특별시,종로구,숭인동,종로센트레빌,서울특별시 종로구 숭인동 2-1 종로센트레빌,서울특별시 종로구 동망산길 47,416
